Authors,Author full names,Author(s) ID,Language,AI,Title,Abstract,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Affiliations,Authors with affiliations,Index Keywords,References,Publisher,ISSN,ISBN,CODEN,PubMed ID,Document Type,Source,EID
Zhaoping LÃ¼|Hui Wang|Mingwei Chen|Ian Baker|Jienâ€Wei Yeh|C.T. Liu|T.G. Nieh,,,,FALSE,An assessment on the future development of high-entropy alloys: Summary from a recent workshop,"There is increasing interest in both relating the mechanical behavior of high-entropy alloys to their microstructural evolution and in their development for various applications. A special two-day international workshop on the above topic was held in Guiyang, China, in December 2014. The workshop gathered scientists and engineers to exchange information on recent progress in high-entropy alloys, to discuss the scientific issues and challenges to foster international collaborations, and to identify future directions. In this paper, a summary of this workshop is presented, including aspects of definition/terminology, phase formation, microstructure and phase stability, strengthening mechanisms, and high-temperature properties. Future research directions are also outlined.",2015,Intermetallics,,,,,,454,https://doi.org/10.1016/j.intermet.2015.06.021,,University of Science and Technology Beijing|University of Science and Technology Beijing|Advanced Institute of Materials Science|Tohoku University|Dartmouth Hospital|Dartmouth College|National Tsing Hua University|City University of Hong Kong|University of Tennessee at Knoxville,,,,,0966-9795,,,,article,,
Qingsong Wang|Abhishek Sarkar|Di Wang|Leonardo Velasco|Raheleh Azmi|Subramshu S. Bhattacharya|Thomas Bergfeldt|AndrÃ© DÃ¼vel|Paul Heitjans|Torsten Brezesinski|Horst Hahn|Ben Breitung,,,,FALSE,Multi-anionic and -cationic compounds: new high entropy materials for advanced Li-ion batteries,"For the first time, a multi-anionic and multi-cationic high entropy oxyhalide is presented as high capacity cathode for Li-ion batteries.",2019,Energy & Environmental Science,,,,,,421,https://doi.org/10.1039/c9ee00368a,,Institute of Nanotechnology|Karlsruhe Institute of Technology|Karlsruhe Institute of Technology|Institute of Nanotechnology|Technical University of Darmstadt|Institute of Nanotechnology|Karlsruhe Institute of Technology|Institute of Nanotechnology|Karlsruhe Institute of Technology|Karlsruhe Institute of Technology|Applied Materials (Germany)|Indian Institute of Technology Madras|Technology Centre Prague|Karlsruhe Institute of Technology|Leibniz University Hannover|Leibniz University Hannover|Institute of Nanotechnology|Karlsruhe Institute of Technology|Institute of Nanotechnology|Helmholtz-Institute Ulm|Technical University of Darmstadt|Karlsruhe Institute of Technology|Karlsruhe Institute of Technology|Institute of Nanotechnology,,,,,1754-5692,,,,article,,
StÃ©phane Gorsse|D.B. Miracle|O.N. Senkov,,,,FALSE,Mapping the world of complex concentrated alloys,"This work explores the mechanical properties of high entropy alloys (HEAs) and complex concentrated alloys (CCAs) by comparing them with commercially available engineering alloys including industry-standard aerospace alloys. To reach this goal we have developed a materials database covering the main mechanical properties of HEAs and CCAs from the published literature. The database is used to represent various property spaces enabling an assessment of their performance for light weight structures and high-temperature structural applications. In addition, we illustrate the effects of alloying and of specific elements on the room temperature mechanical properties of HEAs and CCAs. With densities between titanium alloys and steels or nickel alloys, the best CCAs exceed commercial alloys in uniaxial loading and beam bending at room temperature. Where use temperature or cost excludes commercial alloys based on Mg, Al or Ti, the best CCAs also offer attractive specific yield strength in panel bending and specific stiffness for all loading conditions at room temperature. Many CCAs have superior structural properties at elevated temperatures.",2017,Acta Materialia,,,,,,398,https://doi.org/10.1016/j.actamat.2017.06.027,,"Wright State University|Ã‰cole Nationale SupÃ©rieure de Chimie, de Biologie et de Physique|Institut Polytechnique de Bordeaux|Centre National de la Recherche Scientifique|UniversitÃ© de Bordeaux|Institut de Chimie de la MatiÃ¨re CondensÃ©e de Bordeaux|United States Air Force Research Laboratory|United States Air Force Research Laboratory",,,,,1359-6454,,,,article,,
Xuejiao Chang|Mengqi Zeng|Keli Liu|Lei Fu,,,,FALSE,Phase Engineering of Highâ€Entropy Alloys,"High-entropy alloys (HEAs) are based on five or more principal elements with equal or nearly equal molar fractions and possess many significant advantages over traditional alloys, including high strength and hardness, excellent corrosion resistance, outstanding thermal stability, and irradiation resistance. Phase structure plays a vital role in determining the property of HEAs. For further enhancing the performance of HEAs in various application fields, a controllable synthesis with desired phases is required. In this review, the diverse phase structures of HEAs and the related properties are first introduced. Then, alternative tuning strategies to promote the desired phase structure of HEAs are focused upon. Property adjusting of phase-engineered HEAs is also discussed in depth. Lastly, some insights into the challenges and future prospects in this rapidly emerging research field are provided.",2020,Advanced Materials,,,,,,388,https://doi.org/10.1002/adma.201907226,,Wuhan University|Wuhan University|Wuhan University|Wuhan University,,,,,0935-9648,,,,review,,
Dongdong Wang|Zhijuan Liu|Shiqian Du|Yiqiong Zhang|Hao Li|Zhaohui Xiao|Wei Chen|Ru Chen|Yanyong Wang|Yuqin Zou|Shuangyin Wang,,,,FALSE,Low-temperature synthesis of small-sized high-entropy oxides for water oxidation,"High entropy materials (HEMs) are attracting significant attention due to their unique structure and unprecedented application potential in many fields. Herein, a novel low temperature strategy for preparing high entropy (Co, Cu, Fe, Mn, Ni)3O4 oxides with a single-phase, the Fd[3 with combining macron]m spinel structure, is developed via solvothermal synthesis followed by annealing. This is the first time that high entropy oxides were fabricated successfully at low temperature. The as-prepared high entropy oxides possess five highly dispersed metal species, and the average particle size is approximately 5 nm, which is the smallest nanometer size of the high entropy oxides that has been reported so far. By considering their unique physical and chemical properties, the resultant high entropy oxides exhibit an excellent performance for water oxidation. Hence, this work provides a new synthetic strategy for high entropy oxides to solve the bottlenecks encountered by traditional methods and broaden their application areas.",2019,Journal of Materials Chemistry A,,,,,,365,https://doi.org/10.1039/c9ta08740k,,Hunan University|State Key Laboratory of Chemobiosensing and Chemometrics|State Key Laboratory of Chemobiosensing and Chemometrics|Hunan University|Hunan University|State Key Laboratory of Chemobiosensing and Chemometrics|Hunan University|State Key Laboratory of Chemobiosensing and Chemometrics|Hunan University|State Key Laboratory of Chemobiosensing and Chemometrics|Hunan University|State Key Laboratory of Chemobiosensing and Chemometrics|State Key Laboratory of Chemobiosensing and Chemometrics|Hunan University|Hunan University|State Key Laboratory of Chemobiosensing and Chemometrics|Hunan University|State Key Laboratory of Chemobiosensing and Chemometrics|Hunan University|State Key Laboratory of Chemobiosensing and Chemometrics|State Key Laboratory of Chemobiosensing and Chemometrics|Hunan University,,,,,2050-7488,,,,article,,
Z. Han|Hengwei Luan|Xiaohua Liu|N. Chen|Xiaolong Li|Yang Shao|Kefu Yao,,,,FALSE,Microstructures and mechanical properties of Ti NbMoTaW refractory high-entropy alloys,"Refractory high-entropy alloys (RHEAs) are newly developed candidate materials for high-temperature applications. Among the existing RHEAs, NbMoTaW RHEA possesses the best mechanical properties with combined high strength, excellent thermal stability and softening resistance at elevated temperatures. However, the NbMoTaW RHEA is quite brittle at room temperature, which would restrict its application as structural material. Here, TixNbMoTaW RHEAs were developed by alloying Ti in the NbMoTaW RHEA. It shows that the room temperature ductility of the RHEAs increases from 1.9% of the NbMoTaW RHEA to 11.5% of the TiNbMoTaW RHEA, and the yield strength increases from 996 MPa of the NbMoTaW RHEA to 1455 MPa of the TiNbMoTaW RHEA. In addition, the TixNbMoTaW RHEAs keep stable single BCC structure up to their melt points. The present result indicates that Ti addition could effectively enhance both the ductility and strength of the NbMoTaW RHEA. The combined performance of superior mechanical properties and high thermal stability of the TixNbMoTaW RHEAs promises them an important role in engineering applications.",2017,Materials Science and Engineering A,,,,,,354,https://doi.org/10.1016/j.msea.2017.12.004,,Tsinghua University|Tsinghua University|China Academy of Engineering Physics|Tsinghua University|Tsinghua University|Tsinghua University|Tsinghua University|Tsinghua University,,,,,0921-5093,,,,article,,
Zia Ullah Arif|Muhammad Yasir Khalid|Ehtsham ur Rehman|Sibghat Ullah|Muhammad Atif|Ali Tariq,,,,FALSE,"A review on laser cladding of high-entropy alloys, their recent trends and potential applications","High-Entropy Alloys (HEAs) are a promising class of metallic materials that have allured the world of material science and engineering. These intriguing materials are proving their worth in the coatings for severe ambient and demanding conditions. Laser cladding (LC) is a non-linear complex, multidisciplinary and modern technology applied for surface modification. Nobler properties of HEAs as compared to traditional alloys permitted the research community to explore Laser-Cladded High-Entropy Alloy Coatings (LC-HEACs). Here, this article provides a review and recent trends of LC-HEACs, aiming to address the use of LC technology for HEA materials, the influence of process parameters on the geometric and metallurgical characteristics of the LC-HEACs. Common defects not limited to microcracks and residual stresses, and techniques to improve the quality of the LC-HEACs are elucidated. Furthermore, thermo-kinetics effect, thermomechanical behavior, microstructural evolution, and strengthening mechanisms are illustrated for a better understanding of laser-material interaction. The potential applications of the LC-HEACs are outlined considering wear, corrosion, erosion, and oxidation resistance and their corresponding substrates. The article also highlights the research gaps, current trends, and possible future directions in the context of critical challenges that need to be catered, before the actual implementation of LC-HEACs in industries. Owing to the variety of element constitution for HEAs design as well as excellent mechanical and functional properties, LC-HEACs will blossom in the years to come.",2021,Journal of Manufacturing Processes,,,,,,283,https://doi.org/10.1016/j.jmapro.2021.06.041,,University of Management and Technology|University of Management and Technology|University of Management and Technology|University of Management and Technology|University of Huddersfield|National University of Sciences and Technology,,,,,1526-6125,,,,review,,
Dongshuang Wu|Kohei Kusada|Tomokazu Yamamoto|Takaaki Toriyama|Syo Matsumura|Ibrahima Gueye|Okkyun Seo|Jaemyung Kim|Satoshi Hiroi|Osami Sakata|Shogo Kawaguchi|Yoshiki Kubota|Hiroshi Kitagawa,,,,FALSE,On the electronic structure and hydrogen evolution reaction activity of platinum group metal-based high-entropy-alloy nanoparticles,RuRhPdIrPt high-entropy-alloy nanoparticles with a broad and featureless valence band spectrum show high hydrogen evolution reaction activity.,2020,Chemical Science,,,,,,278,https://doi.org/10.1039/d0sc02351e,,Division of Chemistry|Graduate School USA|Kyoto University|Graduate School USA|Kyoto University|Division of Chemistry|Kyushu University|Kyushu University|Kyushu University|National Institute for Materials Science|SPring-8|Hyogo University|Japan Synchrotron Radiation Research Institute|Japan Synchrotron Radiation Research Institute|National Institute for Materials Science|Hyogo University|SPring-8|SPring-8|National Institute for Materials Science|Japan Synchrotron Radiation Research Institute|Hyogo University|SPring-8|Hyogo University|National Institute for Materials Science|Japan Synchrotron Radiation Research Institute|Hyogo University|National Institute for Materials Science|SPring-8|Japan Synchrotron Radiation Research Institute|Hyogo University|Japan Synchrotron Radiation Research Institute|SPring-8|Osaka Prefecture University|Osaka Health Science University|Graduate School USA|Graduate School USA|Division of Chemistry|Kyoto University,,,,,2041-6520,,,,article,,
Chuan Zhang|Fan Zhang|Haoyan Diao|Michael C. Gao|Zhi Tang|Jonathan D. Poplawsky|Peter K. Liaw,,,,FALSE,Understanding phase stability of Al-Co-Cr-Fe-Ni high entropy alloys,"The concept of high entropy alloy (HEA) opens a vast unexplored composition range for alloy design. As a well-studied system, Al-Co-Cr-Fe-Ni has attracted tremendous amount of attention to develop new-generation low-density structural materials for automobile and aerospace applications. In spite of intensive investigations in the past few years, the phase stability within this HEA system is still poorly understood and needs to be clarified, which poses obstacles to the discovery of promising Al-Co-Cr-Fe-Ni HEAs. In the present work, the CALPHAD approach is employed to understand the phase stability and explore the phase transformation within the Al-Co-Cr-Fe-Ni system. The phase-stability mapping coupled with density contours is then constructed within the composition - temperature space, which provides useful guidelines for the design of low-density Al-Co-Cr-Fe-Ni HEAs with desirable properties.",2016,Materials & Design,,,,,,263,https://doi.org/10.1016/j.matdes.2016.07.073,,CompuTherm (United States)|CompuTherm (United States)|University of Tennessee at Knoxville|National Energy Technology Laboratory|University of Tennessee at Knoxville|Oak Ridge National Laboratory|University of Tennessee at Knoxville,,,,,0264-1275,,,,article,,
Brianna L. MusicÃ³|Dustin A. Gilbert|Thomas Z. Ward|Katharine Page|E.P. George|Jiaqiang Yan|David Mandrus|Veerle Keppens,,,,FALSE,"The emergent field of high entropy oxides: Design, prospects, challenges, and opportunities for tailoring material properties","A new class of ceramics, called entropy stabilized oxides, High Entropy Oxides (HEOs), multicomponent oxides, compositionally complex oxides, or polycation oxides, has generated considerable research interest since the first report in 2015. This multicomponent approach has created new opportunities for materials design and discovery. This Perspective will highlight some current research developments and possible applications while also providing an overview of the many successfully synthesized HEO systems to date. The polycation approach to composition development will be discussed along with a few case studies, challenges, and future possibilities afforded by this novel class of materials.",2020,APL Materials,,,,,,256,https://doi.org/10.1063/5.0003149,,University of Tennessee at Knoxville|University of Tennessee at Knoxville|Oak Ridge National Laboratory|University of Tennessee at Knoxville|Oak Ridge National Laboratory|University of Tennessee at Knoxville|University of Tennessee at Knoxville|Oak Ridge National Laboratory|Oak Ridge National Laboratory|University of Tennessee at Knoxville|University of Tennessee at Knoxville,,,,,2166-532X,,,,article,,
Franz MÃ¼ller|Bronislava Gorr|Hansâ€JÃ¼rgen Christ|Julian MÃ¼ller|Benjamin Butz|Hans Chen|Alexander Kauffmann|Martin Heilmaier,,,,FALSE,On the oxidation mechanism of refractory high entropy alloys,"The high-temperature oxidation mechanism of a series of refractory high entropy alloys: TaMoCrTiAl, NbMoCrTiAl, NbMoCrAl and TaMoCrAl at 1000 °C in air was studied. A complex protective oxide layer consisting of Al2O3, Cr2O3 and CrTaO4 oxides was observed for the quinary Ta-containing alloy. The formation of CrTaO4 in this alloy after a short incubation period decreased the oxidation kinetics from a parabolic to a quartic rate law. Ti was found to support the formation of CrTaO4. In the Nb-containing alloys, the formation of different Nb2O5 polytypes near the metal/oxide interface caused a highly porous oxide scale and severe oxide spallation.",2019,Corrosion Science,,,,,,251,https://doi.org/10.1016/j.corsci.2019.108161,,University of Siegen|Folkwang University of the Arts|Folkwang University of the Arts|University of Siegen|Folkwang University of the Arts|University of Siegen|University of Siegen|Folkwang University of the Arts|University of Siegen|Folkwang University of the Arts|Karlsruhe Institute of Technology|Karlsruhe Institute of Technology|Karlsruhe Institute of Technology,,,,,0010-938X,,,,article,,
