,DOI,Title,Abstract,AI_Methods,Abstract,Abstract
10,10.3390/met15121349,"Applications of Machine Learning in High-Entropy Alloys: Phase Prediction, Performance Optimization, and Compositional Space Exploration","The rapid advancement of machine learning (ML) has ushered in a new era for materials science, particularly in the design and understanding of high-entropy alloys (HEAs). As a class of compositionally complex materials, HEAs have greatly benefited from the predictive power and computational efficiency of ML techniques. Recent years have witnessed remarkable expansion in the scope and sophistication of ML applications to HEAs, spanning from phase formation prediction to property and microstructure modeling. These developments have significantly accelerated the discovery and optimization of novel HEA systems. This review provides a comprehensive overview of the current progress and emerging trends in applying ML to HEA research. We first discuss phase prediction methodologies, encompassing both pure ML frameworks and hybrid physics-informed models. Subsequently, we summarize advances in ML-driven prediction of HEA properties and microstructural features. Further sections highlight the role of ML in exploring vast compositional spaces, guiding the design of high-performance HEAs, and optimizing existing alloys through data-driven algorithms. Finally, the challenges and limitations of current approaches are critically examined, and future directions are proposed toward interpretable models, mechanistic understanding, and efficient exploration of the HEA design space. © 2025 by the authors.",,,
11,10.3390/met15121352,Theoretical Prediction of Yield Strength in Co(1-x-y)CryNix Medium-Entropy Alloys: Integrated Solid Solution and Grain Boundary Strengthening,"CoCrNi medium-entropy alloys (MEAs) have emerged as a promising class of structural materials due to their exceptional strength–ductility synergy. However, the lack of composition-dependent predictive models severely hinders rational alloy design, forcing reliance on costly trial-and-error experimentation. This study develops a comprehensive theoretical model to predict the yield strength of single-phase face-centered-cubic (FCC) Co<inf>(1-x-y)</inf>Cr<inf>y</inf>Ni<inf>x</inf> MEAs by quantitatively evaluating the contributions of grain boundary and solid solution strengthening. The model demonstrates that increasing Cr content significantly enhances grain boundary strengthening through elevated shear modulus and Peierls stress, whereas Ni has a minimal effect. Solid solution strengthening, determined by the minimum resistance among Co–Cr, Co–Ni, and Cr–Ni atomic pairs, peaks at 1726.21 MPa for the composition Co<inf>17</inf>Cr<inf>64</inf>Ni<inf>19</inf>. For equiatomic CoCrNi, theoretical yield strengths range from 1287.8 to 1575.4 MPa across grain sizes of 0.5–50 µm, showing excellent agreement with experimental results. This work provides a reliable, composition-dependent predictive framework that surpasses traditional trial-and-error methods, enabling efficient design of high-strength MEAs through targeted control of lattice distortion and elemental interactions. © 2025 by the authors.",,,
12,10.1038/s41524-025-01850-9,Bayesian Optimization of Grain-Boundary Segregation in High-Entropy Alloys,"The concurrent segregation of multiple solute elements at grain boundaries (GBs), also known as co-segregation, is a pervasive interfacial behavior that governs microstructural evolution and influences many properties of high-entropy alloys (HEAs). However, accurately predicting co-segregation behavior in HEAs is a challenging task due to the vast compositional space and complex interactions among multiple solute elements. In this paper, we developed a scalarization-based Bayesian optimization (SBO) framework integrated with high-throughput atomistic simulations to efficiently explore and optimize the large compositional space of CrMnFeCoNi HEAs for targeted co-segregation behavior and other desirable interfacial properties. Specifically, Thompson sampling is adopted to explore the input compositional space and identify HEA candidates representing two extremes: the strongest and weakest co-segregation of Cr and Mn at CrMnFeCoNi GBs. These SBO-predicted segregation extremes are subsequently validated by hybrid molecular dynamics/Monte Carlo simulations and first-principles calculations. Furthermore, electronic structure calculations demonstrate that the co-segregation of Cr and Mn can be ascribed to the hybridization of their d valence electrons promoted by the presence of Fe. While this SBO framework focuses on segregation behavior, it can be easily extended to optimize a wide range of interfacial properties in multicomponent systems. This study establishes a new paradigm for designing advanced HEAs through interfacial property optimization. © The Author(s) 2025.",,,
13,10.1134/S207511332570217X,Prediction of the Phase Composition and Properties of CoCrFeMnNi Alloy,"Abstract: This paper presents the prediction of the phase composition and properties of a high-entropy CoCrFeMnNi alloy using the Calphad method and neural networks. The study emphasizes the importance of phase composition in determining the properties of materials, separating phases into solid solutions, intermetallic compounds, mixed phases, and amorphous structures. corrosion resistance. Traditional parametric and computational approaches are discussed, the role of rules of thumb and the potential of machine learning methods, in particular neural networks, in predicting mechanical properties such as microhardness, Young’s modulus, yield and strength strengths are emphasized. The research is aimed at creating effective methodologies for designing new alloys with optimal properties, identifying hidden patterns in large data sets, and thereby improving the efficiency of predicting the properties of complex materials. © Pleiades Publishing, Ltd. 2025.",,,
14,10.1038/s41524-025-01814-z,Machine learning potentials for alloys: a detailed workflow to predict phase diagrams and benchmark accuracy,"High-entropy alloys (HEAs) have attracted increasing attention due to their unique structural and functional properties. In the study of HEAs, thermodynamic properties and phase stability play a crucial role, making phase diagram calculations significantly important. However, phase diagram calculations with conventional CALPHAD assessments based on experimental or ab-initio data can be expensive. With the emergence of machine-learning interatomic potentials (MLIPs), we have developed a program named PhaseForge, which integrates MLIPs into the Alloy Theoretic Automated Toolkit (ATAT) framework using our MLIP calculation library, MaterialsFramework, to enable efficient exploration of alloy phase diagrams. Moreover, our workflow can also serve as a benchmarking tool for evaluating the quality of different MLIPs. © The Author(s) 2025.",,,
15,10.1016/j.matdes.2025.115159,Deep learning in shock response of metastable high entropy alloy: from prediction to inverse microstructure design,"Metastable high-entropy alloys (HEA) have attracted great interest due to their excellent mechanical performance during shock environments. However, the complex non-linear relationship between microstructural characteristics and shock response remains to be revealed. In this study, a series of dynamic compression experiments of V<inf>10</inf>Cr<inf>10</inf>Fe<inf>45</inf>Co<inf>30</inf>Ni<inf>5</inf> metastable HEA have been performed to disclose the role of martensitic transformation in shock response. Corresponding to the martensitic transformation mechanism and the temperature effect, the dislocation-based crystal plasticity constitutive model considering martensitic transformation and adiabatic temperature rise has been established to investigate the shock response. Then, a novel bidirectional deep learning framework with convolutional neural networks (CNN) and generative adversarial networks (GAN) models is proposed to establish the non-linear relationship between microstructure and shock response, progressively achieve the rapid prediction of shock responses, and the inverse design of microstructure. Based on the dataset generated within the crystal plasticity hypothesis space, the deep learning framework is trained to well map the non-linear relationship between microstructure and shock response. In addition, the GAN model can accurately determine the texture and temperature based on the targeted stress–strain curve. The present study can help understand the connection between shock response and microstructure design of the metastable HEA. © © 2025. Published by Elsevier Ltd.",,,
16,10.1007/s44210-025-00063-5,Machine Learning-Accelerated Computational Screening of Pt-Modified Cantor Alloys as High-Entropy Electrocatalysts for Oxygen Reduction Reaction,"High-entropy alloys are increasingly recognised as promising catalyst materials due to their highly tunable compositions. In particular, the Cantor alloy, CrCoFeMnNi, has attracted significant interest as a low-cost, earth-abundant alternative to Pt-group catalysts. However, the Cantor alloy is susceptible to degradation in acidic environments. To address this, Pt has been proposed as an addition to the Cantor alloy to leverage the high catalytic activity and surface stability of Pt. In this study, we identify and elucidate the catalytic activity trend for the oxygen reduction reaction (ORR) by screening CrCoFeMnNiPt alloys containing 50–100 at.% Pt and up to 50 at.% of each 3d element at 10 at.% resolution using a purely computational, machine learning-accelerated density-functional-theory workflow. Assuming the formation of a Pt skin through surface reconfiguration, a machine learning-accelerated simulation protocol infers the strain-corrected adsorption strengths of key reaction intermediates and uses them as descriptors for kinetic modelling. Our results show that Pt-modification of the Cantor alloy is a potentially viable strategy towards active and durable ORR catalysts. However, the simulations also predict binary Pt-rich alloys with approximately 80 at.% Pt to exhibit the highest ORR activity due to synergistic ligand and strain effects. As this model identifies known alloys with high ORR performance, we suggest that this framework contributes to a clear understanding of how bulk composition affects the reaction kinetics of complex surface alloys. © The Author(s) 2025.",,,
17,10.1016/j.ijplas.2025.104545,Data-inspired atomic environment-dependence of vacancy formation energy in high-entropy alloys,"Vacancy properties in High-entropy alloys (HEAs) play a critical role in governing high-temperature microstructural stability, yet the fundamental relationship between Vacancy Formation Energy (VFE) and heterogeneous Local Atomic Environments (LAE) in HEAs remains far from well understood, owing to the complex and heterogeneous nature of LAE. To address this, we developed an interpretable machine learning framework integrating high-throughput molecular dynamics simulations and physics-informed features. Using CoNiCrFeMn as model system, our approach achieves exceptional prediction accuracy (R² = 0.98) for VFE. It is found that the LAE within the first-nearest-neighbor shell around vacancy dominates VFE variations, and the local atomic spatial ordering exerts influence on VFE comparable in magnitude to local chemical composition. Based on the designated LAE descriptor, namely multilevel element pair probability, and feature analysis-guided physics interpretation, we identify for the first time the physical origin of LAE-mediated VFE as the synergistic strong/weak-bond elements competition and lattice distortion effects. Specifically, coexisting strong-bond (e.g., Ni) and weak-bond (e.g., Mn) atoms in 1NN shell around central vacancy drive offsetting displacements through lattice distortion, dynamically tailoring VFE. The mechanism explains anomalously high lattice distortion and elevated vacancy concentrations observed in Mn-containing CoNiCrFeMn HEAs, and further enables a strategy for enhancing vacancy stability via annealing-induced elemental aggregation. These results establish a theoretical framework for defect engineering in the design of complex solid-solution alloys. © 2025 Elsevier Ltd.",,,
18,10.1016/j.mtphys.2025.101900,Deformation mechanisms of multiphase AlCoCuFeNiTi high-entropy alloys revealed by machine learning-assisted molecular dynamics,"This study investigates the deformation mechanisms and mechanical properties of multiphase AlCoCuFeNiTi high-entropy alloys (HEAs) through an integrated approach combining molecular dynamics (MD) simulations and machine learning (ML) modeling. The effects of alloy composition and temperature on microstructure evolution and tensile behavior are systematically examined. MD simulations reveal that increasing aluminum (Al) content in Al<inf>x</inf>CoCuFeNiTi<inf>1-x</inf>HEAs destabilizes the body-centered cubic (BCC) phase, promoting the formation of hexagonal close-packed (HCP) and intermetallic-rich phases, particularly when copper (Cu) and titanium (Ti) are present. Conversely, face-centered cubic (FCC) stability rises above 16.7 at.% Al, with a reduction in disordered and intermetallic phases. At higher temperatures, phase disordering and amorphization become dominant, particularly in BCC-rich alloys, leading to significant degradation of mechanical strength. Additionally, Long Short-Term Memory (LSTM)-based ML models accurately predict tensile stress by capturing nonlinear relationships between compositional features, phase fractions, and temperature. Experimental validation confirms the formation of a complex multiphase structure and highlights the disparity between simulation predictions and experimental tensile strengths, which is attributed to microstructural defects and brittle intermetallics. This work demonstrates a robust combined computational and experimental method for designing ductile, thermally stable HEAs and clarifies key structure-property relationships vital for developing advanced alloys. © 2025 Elsevier Ltd. All rights are reserved, including those for text and data mining, AI training, and similar technologies.",,,
19,10.1016/j.mtla.2025.102590,Machine learning-driven phase prediction and corrosion behavior of (CoCrNi)(100-x-y) AlxTiy high-entropy alloys in Ringer's solution,"Limited by traditional trial-and-error methods, it is a great challenge to develop novel high-entropy alloys (HEAs) with an FCC+BCC dual-phase structure and excellent corrosion resistance. Herein, this study developed a machine learning (ML)-based design method, which predicted the influence of Al-Ti co-doping on the phase structure of CoCrNi-based HEAs and used this as a screening criterion to obtain the target alloys. After model optimization and comparative evaluation, the Random Forest (RF) algorithm was ultimately selected for phase prediction, achieving an accuracy of 94.1 %. To verify the accuracy of the machine learning phase prediction model, two types of HEAs were designed: one is composed of (CoCrNi)<inf>94</inf>Al<inf>3</inf>Ti<inf>3</inf>, (CoCrNi)<inf>94</inf>Al<inf>4</inf>Ti<inf>2</inf>, and (CoCrNi)<inf>93</inf>Al<inf>4</inf>Ti<inf>3</inf> with a single FCC structure, and the other comprises (CoCrNi)<inf>90</inf>Al<inf>5</inf>Ti<inf>5</inf>, (CoCrNi)<inf>85</inf>Al<inf>8</inf>Ti<inf>7</inf>, and (CoCrNi)<inf>80</inf>Al<inf>10</inf>Ti<inf>10</inf> with an FCC+BCC dual-phase structure. SHAP analysis was employed to enhance the interpretability of the model, and the results showed that valence electron concentration ( VEC ) exerts the most significant influence on phase formation. In addition, electrochemical test results of the FCC+BCC dual-phase HEAs in Ringer's solution indicated that the Al<inf>5</inf>Ti<inf>5</inf> alloy exhibits the optimal corrosion resistance, with a corrosion current density of 8.08×10⁻⁸ A/cm², a pitting potential of 840.6 mV, and a passive region of 1062.4 mV. © 2025 Acta Materialia Inc.",,,
20,10.1002/adem.202402280,Machine Learning Applied to High Entropy Alloys under Irradiation,"High-entropy alloys (HEAs) represent a frontier in materials science, offering many promising features suitable for high-demand applications in nuclear and space sectors, such as exceptional mechanical properties. However, a major challenge in these fields is accurately predicting the behavior of HEAs under extreme conditions, such as radiation exposure or elevated operating temperatures, in order to maintain the integrity of the materials. Machine learning (ML) provides powerful tools to address this challenge. ML techniques, including ML interatomic potentials (MLIP), enable the modeling and prediction of complex behaviors in HEAs. This review focuses on ML to enhance the understanding of phase stability, mechanical properties, and radiation damage prediction in these complex alloys. The potential of ML to accelerate the discovery/optimization of new HEA compositions with good performance under extreme conditions is also discussed. Ultimately, the aim is to highlight the transformative role of ML in the field of HEAs under extreme conditions, in light of developing novel materials suitable for harsh environments. © 2025 The Author(s). Advanced Engineering Materials published by Wiley-VCH GmbH.",,,
21,10.1038/s41524-025-01811-2,Accurate and uncertainty-aware multi-task prediction of HEA properties using prior-guided deep Gaussian processes,"Surrogate modeling techniques have become indispensable in accelerating the discovery and optimization of high-entropy alloys (HEAs), especially when integrating computational predictions with sparse experimental observations. This study systematically evaluates the training and testing performance of four prominent surrogate models—conventional Gaussian processes (cGP), Deep Gaussian processes (DGP), encoder-decoder neural networks for multi-output regression and eXtreme Gradient Boosting (XGBoost)—applied to a hybrid dataset of experimental and computational properties of the 8-component HEA system Al-Co-Cr-Cu-Fe-Mn-Ni-V. We specifically assess their capabilities in predicting correlated material properties, including yield strength, hardness, modulus, ultimate tensile strength, elongation, and average hardness under dynamic/quasi-static conditions, alongside auxiliary computational properties. The comparison highlights the strengths of hierarchical deep modeling approaches in handling heteroscedastic, heterotopic, and incomplete data commonly encountered in materials science. Our findings illustrate that combined surrogate models such as DGPs infused with machine-learned priors outperform other surrogates by effectively capturing inter-property correlations and by assimilating prior knowledge. This enhanced predictive accuracy positions the combined surrogate models as powerful tools for robust and data-efficient materials design. © The Author(s) 2025.",,,
22,10.1007/s40831-025-01250-9,Human Health and Ecotoxicity Considerations in Metallic Alloy Design,"The increasingly prevalent use of metallic alloys in consumer products, medical devices, and sophisticated industrial applications warrants consideration of their potential adverse impacts on both human health and ecosystems, early in product and process development. We review recent advances in understanding metallic toxicity and the criteria used by national and international databases to categorize metals in terms of potential hazards and precautional regulatory responses. We note that the existing databases are populated with scientific information on individual metallic elements, and these databases contain gaps and occasional incompatible data, all of which may not apply neatly to the attributes of metallic elements in alloys. We present three case studies, two on conventional metallic alloys (Al 3003 vs Al 7075, Monel vs Inconel 718), and one on high entropy alloys (Cantor vs a recent refractory composition) to explore the potential contributions of individual elements to alloy composition and predictable characteristics associated with human health effects and ecotoxicity. Finally, we note that in addition to direct toxicity characteristics, the production of metals and metallic alloys can be energy intensive, and the process may generate additional toxic compounds worth considering in their overall environmental footprint and potential contributions to the burden of disease in human populations. New tools including machine learning and generative artificial intelligence may support innovative approaches for developing more precise appraisal of human health and ecotoxicity considerations in metallic alloy design. © The Author(s) 2025.",,,
23,10.1038/s41524-025-01722-2,Capturing short-range order in high-entropy alloys with machine learning potentials,"Chemical short-range order (SRO) affects the distribution of elements throughout the solid-solution phase of metallic alloys, thereby modifying the background against which microstructural evolution occurs. Investigating such chemistry–microstructure relationships requires atomistic models that act at the appropriate length scales while capturing the intricacies of chemical bonds leading to SRO. Here, we consider various approaches for the construction of training data sets for machine learning potentials (MLPs) for CrCoNi and evaluate their performance in capturing SRO and its effects on materials quantities of relevance for mechanical properties, such as stacking-fault energy and phase stability. It is demonstrated that energy accuracy on test sets often does not correlate with accuracy in capturing material properties, which is fundamental in enabling large-scale atomistic simulations of metallic alloys with high physical fidelity. Based on this analysis, we systematically derive design principles for the rational construction of MLPs that capture SRO in the crystal and liquid phases of alloys. © The Author(s) 2025.",,,
24,10.1016/j.ijrmhm.2025.107400,Machine learning assisted design of CrTaTiV-based refractory high entropy alloys with enhanced hardness,"Refractory high entropy alloys (RHEAs) with enhanced hardness exhibit superior performance. However, traditional trial-and-error methods could be time-consuming and inefficient facing the enormous compositional space. In this paper, machine learning (ML) was utilized to design RHEAs with enhanced hardness. Several candidate alloys were selected by high-throughput screening and verified. The hardness of Cr<inf>45</inf>Ta<inf>21</inf>Ti<inf>20</inf>V<inf>14</inf> is up to 1074 HV, which is 33.4 % higher than the maximum value (805 HV) in the database. Moreover, the Shapley additive explanation (SHAP) was introduced to further comprehend the model interpretability. © 2025 Elsevier Ltd",,,
25,10.1038/s41524-025-01762-8,Revealing nanostructures in high-entropy alloys via machine-learning accelerated scalable Monte Carlo simulation,"First-principles Monte Carlo (MC) simulations at finite temperatures are computationally prohibitive for large systems due to the high cost of quantum calculations and poor parallelizability of sequential Markov chains in MC algorithms. We introduce scalable Monte Carlo at eXtreme (SMC-X), a generalized checkerboard algorithm designed to accelerate MC simulation with arbitrary short-range interactions, including machine learning potentials, on modern accelerator hardware. The GPU implementation, SMC-GPU, harnesses massive parallelism to enable billion-atom simulations when combined with machine-learning surrogates of density functional theory (DFT). We apply SMC-GPU to explore nanostructure evolution in two high-entropy alloys, FeCoNiAlTi and MoNbTaW, revealing diverse morphologies including nanoparticles, 3D-connected NPs, and disorder-stabilized phases. We quantify their size, composition, and morphology, and simulate an atom-probe tomography (APT) specimen for direct comparison with experiments. Our results highlight the potential of large-scale, data-driven MC simulations in exploring nanostructure evolution in complex materials, opening new avenues for computationally guided alloy design. © The Author(s) 2025.",,,
